transaction_id,user_id,timestamp,amount,merchant_category,txn_city,home_city,device_type,primary_device,hour_of_day,velocity_1h,account_age_days,avg_user_amount,is_fraud,fraud_pattern
3ead80ff-d9b,U00104,2026-01-01 02:02:00,2641.78,food_delivery,Delhi,Delhi,web_mobile,web_mobile,2,0,1341,2345.98,0,none
3eb2b094-603,U01169,2026-01-01 02:31:00,817.08,grocery,Chennai,Chennai,web_mobile,web_mobile,2,0,1154,834.47,0,none
dc0ddaa7-216,U00049,2026-01-01 02:44:00,1612.54,grocery,Ahmedabad,Ahmedabad,web_mobile,web_mobile,2,0,971,1431.14,0,none
5bd530c1-ed0,U01327,2026-01-01 02:48:00,2197.17,travel,Pune,Pune,web_desktop,web_desktop,2,0,1243,2283.11,0,none
eb247948-a36,U00629,2026-01-01 02:51:00,641.68,healthcare,Chennai,Chennai,web_desktop,web_desktop,2,1,1619,536.72,0,none
f548b4e5-6bc,U00489,2026-01-01 03:07:00,1706.2,gaming,Ahmedabad,Ahmedabad,web_desktop,web_desktop,3,3,1958,2566.79,0,none
9a4b7d7b-4da,U01487,2026-01-01 03:08:00,648.63,healthcare,Kolkata,Kolkata,web_mobile,web_mobile,3,0,1738,587.47,0,none
87c85b0b-e9a,U01446,2026-01-01 03:15:00,474.41,food_delivery,Delhi,Delhi,mobile_app,mobile_app,3,1,1895,384.31,0,none
f1289a05-690,U00001,2026-01-01 03:18:00,1698.0,grocery,Lucknow,Lucknow,mobile_app,web_desktop,3,0,1342,1642.79,0,none
d8b654f7-096,U00011,2026-01-01 03:18:00,2815.2,electronics,Jaipur,Jaipur,web_mobile,web_mobile,3,1,1846,3849.29,0,none
7bbf81a1-9e3,U00178,2026-01-01 03:18:00,39731.07,food_delivery,Lucknow,Lucknow,pos_terminal,pos_terminal,3,0,1260,2378.89,1,amount_anomaly
d35fa67c-7ce,U01416,2026-01-01 03:25:00,1044.24,food_delivery,Delhi,Delhi,pos_terminal,pos_terminal,3,0,1406,1159.74,0,none
17583dd2-b82,U01026,2026-01-01 03:29:00,2949.62,utilities,Lucknow,Lucknow,web_desktop,web_desktop,3,0,462,3187.44,0,none
08c581e0-1ab,U01417,2026-01-01 03:32:00,1724.8,electronics,Jaipur,Jaipur,mobile_app,mobile_app,3,0,78,2368.1,0,none
a5773402-ed5,U01272,2026-01-01 03:35:00,2157.14,healthcare,Jaipur,Jaipur,web_mobile,web_mobile,3,1,690,1674.47,0,none
a375add2-e58,U01753,2026-01-01 03:37:00,833.95,food_delivery,Ahmedabad,Ahmedabad,web_desktop,web_desktop,3,0,1232,934.04,0,none
01806aff-b87,U00164,2026-01-01 03:38:00,899.48,utilities,Ahmedabad,Ahmedabad,mobile_app,mobile_app,3,0,1637,1437.94,0,none
cac2f961-4ef,U01984,2026-01-01 03:42:00,1262.22,food_delivery,Mumbai,Mumbai,pos_terminal,pos_terminal,3,0,1907,907.1,0,none
557cb504-19f,U01885,2026-01-01 03:54:00,2432.37,grocery,Mumbai,Mumbai,pos_terminal,pos_terminal,3,0,764,2735.85,0,none
944f036f-754,U00290,2026-01-01 03:55:00,860.56,grocery,Delhi,Delhi,mobile_app,mobile_app,3,0,1688,1091.15,0,none
75d39ff8-a83,U01785,2026-01-01 03:59:00,1692.38,entertainment,Chennai,Kolkata,mobile_app,pos_terminal,3,2,503,1722.29,1,geo_mismatch
82ba2b88-32e,U00067,2026-01-01 04:01:00,1551.94,travel,Bangalore,Bangalore,mobile_app,mobile_app,4,1,1301,1960.91,0,none
949be99e-77d,U01440,2026-01-01 04:05:00,409.68,healthcare,Ahmedabad,Ahmedabad,mobile_app,mobile_app,4,0,1286,684.3,0,none
431ac53e-2b1,U01497,2026-01-01 04:21:00,716.02,healthcare,Lucknow,Lucknow,pos_terminal,pos_terminal,4,0,464,810.06,0,none
00938a92-b7e,U01275,2026-01-01 04:27:00,2483.04,grocery,Lucknow,Jaipur,web_mobile,web_mobile,4,0,852,1403.48,0,none
7b8af0ac-46e,U01839,2026-01-01 04:28:00,600.07,entertainment,Jaipur,Jaipur,web_mobile,web_mobile,4,0,1161,619.68,0,none
8166af7c-771,U00309,2026-01-01 04:29:00,1451.08,education,Bangalore,Bangalore,web_mobile,web_mobile,4,0,1881,1362.67,0,none
2959286e-35e,U00764,2026-01-01 04:47:00,618.11,utilities,Lucknow,Lucknow,pos_terminal,pos_terminal,4,0,1055,506.71,0,none
eb99c6ce-860,U01969,2026-01-01 04:50:00,2282.99,grocery,Pune,Pune,web_mobile,web_mobile,4,0,1052,2011.08,0,none
7188cf93-ca5,U00615,2026-01-01 04:54:00,192.0,electronics,Hyderabad,Hyderabad,mobile_app,mobile_app,4,0,344,799.77,0,none
04c0124c-e6f,U00543,2026-01-01 05:00:00,328.35,utilities,Chennai,Chennai,mobile_app,mobile_app,5,1,546,464.0,0,none
f3d580e9-82a,U00159,2026-01-01 05:07:00,243.84,grocery,Ahmedabad,Ahmedabad,web_desktop,web_desktop,5,0,203,251.87,0,none
6e51f1c7-a1b,U01823,2026-01-01 05:09:00,624.93,entertainment,Kolkata,Kolkata,web_desktop,web_desktop,5,0,1080,714.74,0,none
178e3a5f-b27,U01395,2026-01-01 05:11:00,354.8,food_delivery,Chennai,Chennai,mobile_app,mobile_app,5,0,1826,289.77,0,none
bbffb698-bf5,U00824,2026-01-01 05:14:00,2834.31,fashion,Kolkata,Kolkata,pos_terminal,pos_terminal,5,1,900,2556.17,0,none
8af4d619-6e3,U00025,2026-01-01 05:38:00,1794.98,electronics,Ahmedabad,Ahmedabad,pos_terminal,pos_terminal,5,0,1301,1169.07,0,none
4114679a-131,U00639,2026-01-01 05:42:00,4646.88,electronics,Lucknow,Lucknow,web_desktop,web_desktop,5,0,348,4678.4,0,none
de9f12e6-761,U00119,2026-01-01 05:55:00,3171.26,utilities,Delhi,Delhi,pos_terminal,pos_terminal,5,0,1969,2466.89,0,none
594063ec-cdb,U00521,2026-01-01 06:02:00,1488.12,grocery,Bangalore,Bangalore,web_mobile,web_mobile,6,0,254,1376.53,0,none
18d6af45-d23,U01434,2026-01-01 06:10:00,2442.36,electronics,Pune,Pune,mobile_app,mobile_app,6,0,1051,2375.75,0,none
0e296e0a-fba,U01913,2026-01-01 06:36:00,1085.41,entertainment,Mumbai,Mumbai,web_desktop,web_desktop,6,0,345,1585.33,0,none
c4a51066-f04,U00538,2026-01-01 06:42:00,1252.25,healthcare,Hyderabad,Hyderabad,web_mobile,web_mobile,6,0,299,987.56,0,none
51247f7d-3fd,U01851,2026-01-01 06:46:00,1524.36,fashion,Kolkata,Kolkata,mobile_app,mobile_app,6,0,975,2095.07,0,none
82006e72-6d6,U01324,2026-01-01 06:48:00,600.5,gaming,Hyderabad,Hyderabad,web_mobile,pos_terminal,6,1,783,1472.85,0,none
b66d8cde-f1a,U00758,2026-01-01 06:50:00,1066.93,utilities,Pune,Pune,web_mobile,web_mobile,6,2,1316,1648.39,0,none
523120ea-e8a,U01163,2026-01-01 06:58:00,413.73,fashion,Ahmedabad,Ahmedabad,web_mobile,web_mobile,6,0,1452,632.43,0,none
6bd0d940-a05,U01871,2026-01-01 06:59:00,3150.3,entertainment,Hyderabad,Hyderabad,mobile_app,mobile_app,6,0,493,3249.04,0,none
37a3b549-488,U00820,2026-01-01 06:59:00,2422.55,healthcare,Chennai,Chennai,web_desktop,web_desktop,6,0,184,2082.68,0,none
0ff17f38-c65,U01570,2026-01-01 07:00:00,15.74,electronics,Delhi,Delhi,pos_terminal,pos_terminal,7,8,1593,2881.34,1,card_testing
9b3b378c-fdb,U01197,2026-01-01 07:04:00,1000.47,education,Delhi,Delhi,mobile_app,mobile_app,7,0,237,965.41,0,none
d68fe115-5cc,U01973,2026-01-01 07:06:00,5064.11,entertainment,Pune,Delhi,pos_terminal,pos_terminal,7,0,1742,4331.36,0,none
f53fee1d-db5,U00254,2026-01-01 07:23:00,1065.79,grocery,Jaipur,Jaipur,web_mobile,web_mobile,7,0,1482,1638.62,0,none
bc84efab-d78,U01850,2026-01-01 07:44:00,2030.71,entertainment,Kolkata,Kolkata,web_desktop,web_desktop,7,1,1592,1654.83,0,none
ff9c9f98-b7d,U00173,2026-01-01 07:54:00,197.15,utilities,Delhi,Delhi,mobile_app,mobile_app,7,0,1007,259.13,0,none
c83fd7ef-b30,U01975,2026-01-01 07:56:00,960.24,gaming,Jaipur,Jaipur,mobile_app,mobile_app,7,1,1745,781.14,0,none
528bd8d4-04f,U01085,2026-01-01 08:11:00,990.1,grocery,Bangalore,Bangalore,mobile_app,mobile_app,8,0,1834,1944.44,0,none
60ce280d-3e4,U00552,2026-01-01 08:15:00,1657.42,fashion,Pune,Pune,mobile_app,mobile_app,8,0,192,1972.45,0,none
6cb4afa1-eb5,U00485,2026-01-01 08:23:00,911.32,fashion,Delhi,Delhi,mobile_app,mobile_app,8,1,1000,1304.54,0,none
26e7543e-f1a,U01863,2026-01-01 08:57:00,913.26,travel,Hyderabad,Hyderabad,pos_terminal,pos_terminal,8,0,1323,1028.08,0,none
5833a466-c23,U01096,2026-01-01 09:13:00,231.88,travel,Delhi,Delhi,web_mobile,web_mobile,9,0,130,334.14,0,none
3e657dd9-bdf,U01009,2026-01-01 09:25:00,1051.65,education,Bangalore,Bangalore,web_mobile,web_mobile,9,0,286,890.52,0,none
f46cad86-efe,U00438,2026-01-01 09:27:00,437.0,utilities,Mumbai,Mumbai,web_mobile,web_mobile,9,0,1846,702.56,0,none
53e3f52e-f75,U01259,2026-01-01 09:36:00,547.79,fashion,Mumbai,Mumbai,web_desktop,web_desktop,9,0,1001,740.18,0,none
710f4fd6-933,U01634,2026-01-01 09:39:00,3841.99,entertainment,Ahmedabad,Ahmedabad,web_desktop,web_desktop,9,0,803,4443.34,0,none
cb29ee69-a30,U00148,2026-01-01 09:48:00,528.53,entertainment,Hyderabad,Hyderabad,web_mobile,web_mobile,9,0,1062,802.75,0,none
da1089b9-5fc,U00833,2026-01-01 10:00:00,1142.76,food_delivery,Kolkata,Pune,web_mobile,web_mobile,10,0,1536,1072.39,0,none
f23fd09c-c20,U01763,2026-01-01 10:04:00,3073.0,electronics,Jaipur,Jaipur,mobile_app,mobile_app,10,0,988,2636.29,0,none
50825424-8ca,U01276,2026-01-01 10:05:00,3039.13,grocery,Pune,Pune,mobile_app,mobile_app,10,1,1307,4942.58,0,none
d2aa130c-4db,U00923,2026-01-01 10:05:00,894.61,entertainment,Delhi,Delhi,pos_terminal,pos_terminal,10,0,1542,1090.1,0,none
17b6ddd2-4d5,U01606,2026-01-01 10:14:00,1780.52,entertainment,Chennai,Chennai,web_desktop,web_desktop,10,2,808,1878.54,0,none
700849f2-50c,U01207,2026-01-01 10:30:00,2228.72,fashion,Delhi,Delhi,pos_terminal,pos_terminal,10,2,1876,1533.81,0,none
d7c74889-6c2,U00537,2026-01-01 10:37:00,2728.18,gaming,Bangalore,Bangalore,pos_terminal,pos_terminal,10,1,1992,3336.54,0,none
e25e3856-896,U01917,2026-01-01 10:38:00,1798.93,fashion,Jaipur,Jaipur,web_desktop,web_desktop,10,0,25,1836.16,0,none
6bab60c0-3c8,U01978,2026-01-01 10:43:00,5945.57,grocery,Ahmedabad,Ahmedabad,web_desktop,web_desktop,10,0,26,4773.97,0,none
b851cacd-116,U00516,2026-01-01 10:58:00,263.61,healthcare,Delhi,Delhi,web_mobile,web_mobile,10,0,999,387.5,0,none
21a01f9f-ffd,U01534,2026-01-01 11:05:00,286.4,fashion,Bangalore,Bangalore,web_mobile,web_mobile,11,0,579,276.9,0,none
51795e83-7eb,U01123,2026-01-01 11:05:00,1160.68,electronics,Jaipur,Jaipur,mobile_app,mobile_app,11,1,231,2342.82,0,none
e91eda11-396,U00925,2026-01-01 11:51:00,248.41,fashion,Pune,Pune,pos_terminal,pos_terminal,11,0,1052,253.62,0,none
681c6e85-050,U01185,2026-01-01 11:54:00,2854.66,entertainment,Kolkata,Kolkata,web_desktop,web_desktop,11,0,29,4041.17,0,none
88b73639-33a,U00154,2026-01-01 12:07:00,992.68,education,Pune,Pune,pos_terminal,pos_terminal,12,1,1194,1326.47,0,none
96772303-25d,U00699,2026-01-01 12:21:00,1584.17,healthcare,Mumbai,Mumbai,mobile_app,mobile_app,12,0,994,2045.61,0,none
60d98e0f-61b,U00728,2026-01-01 12:23:00,1539.41,healthcare,Pune,Pune,web_desktop,web_desktop,12,1,1913,1101.77,0,none
ed4dfe2a-a55,U00803,2026-01-01 12:31:00,764.87,utilities,Chennai,Chennai,web_desktop,web_desktop,12,0,1962,1158.36,0,none
07f135e5-91b,U00610,2026-01-01 12:44:00,5652.37,healthcare,Bangalore,Bangalore,pos_terminal,pos_terminal,12,0,1177,4717.52,0,none
4cbf6bcc-1d7,U00023,2026-01-01 12:54:00,407.05,utilities,Jaipur,Jaipur,web_desktop,web_desktop,12,0,1710,385.8,0,none
a5f881e9-540,U01493,2026-01-01 13:03:00,1094.33,electronics,Delhi,Delhi,mobile_app,mobile_app,13,0,1760,1605.09,0,none
9f410e27-28c,U00053,2026-01-01 13:05:00,884.11,travel,Bangalore,Bangalore,web_mobile,web_mobile,13,1,1992,1912.69,0,none
6b046566-d2d,U01654,2026-01-01 13:09:00,2037.56,travel,Jaipur,Jaipur,mobile_app,mobile_app,13,0,589,1900.52,0,none
a8467b01-691,U01231,2026-01-01 13:11:00,224.0,fashion,Delhi,Delhi,pos_terminal,pos_terminal,13,0,1003,142.75,0,none
5f60db20-479,U01942,2026-01-01 13:16:00,1210.86,grocery,Kolkata,Kolkata,web_desktop,web_desktop,13,1,1729,1243.15,0,none
1ee89779-578,U00672,2026-01-01 13:19:00,1944.07,healthcare,Bangalore,Bangalore,mobile_app,mobile_app,13,0,431,1584.93,0,none
c241a9db-146,U01646,2026-01-01 13:25:00,1028.51,healthcare,Mumbai,Mumbai,mobile_app,mobile_app,13,0,1901,955.45,0,none
120ff574-21e,U01625,2026-01-01 13:35:00,1307.47,travel,Kolkata,Kolkata,pos_terminal,mobile_app,13,1,1578,912.55,0,none
ab02766c-510,U01496,2026-01-01 13:37:00,879.98,food_delivery,Ahmedabad,Ahmedabad,web_mobile,web_mobile,13,0,995,1085.67,0,none
a08312f0-71a,U00021,2026-01-01 13:42:00,4184.31,electronics,Hyderabad,Hyderabad,pos_terminal,pos_terminal,13,0,1506,2922.87,0,none
3a57876c-470,U01988,2026-01-01 13:44:00,7740.26,gaming,Pune,Pune,pos_terminal,pos_terminal,13,1,1784,721.63,1,amount_anomaly
37f92425-007,U01988,2026-01-01 13:49:00,518.44,fashion,Pune,Pune,pos_terminal,pos_terminal,13,1,1784,721.63,0,none
cc500438-336,U01636,2026-01-01 14:15:00,2574.56,education,Ahmedabad,Ahmedabad,web_mobile,web_mobile,14,1,520,4505.91,0,none
3eeaa2c5-672,U00001,2026-01-01 14:17:00,1545.21,utilities,Kolkata,Lucknow,web_desktop,web_desktop,14,0,1342,1642.79,0,none
d8d2de08-d84,U00035,2026-01-01 14:28:00,530.42,travel,Jaipur,Jaipur,pos_terminal,pos_terminal,14,0,1024,423.31,0,none
47a3ada3-b9e,U00191,2026-01-01 14:36:00,884.94,fashion,Kolkata,Kolkata,mobile_app,mobile_app,14,0,1430,3173.7,0,none
030c1ba8-bb4,U00203,2026-01-01 14:41:00,390.55,entertainment,Ahmedabad,Ahmedabad,mobile_app,mobile_app,14,1,1122,826.47,0,none
7ffa8dc0-6e9,U01241,2026-01-01 14:41:00,1276.44,education,Mumbai,Mumbai,pos_terminal,pos_terminal,14,0,177,769.19,0,none
97b9f8b8-534,U00785,2026-01-01 14:46:00,782.64,grocery,Bangalore,Bangalore,web_desktop,web_desktop,14,1,1599,983.02,0,none
2279e382-485,U01881,2026-01-01 14:47:00,2518.85,gaming,Delhi,Delhi,web_desktop,web_desktop,14,0,304,2912.16,0,none
921b2fe2-4b0,U01887,2026-01-01 15:19:00,1145.51,fashion,Delhi,Delhi,web_desktop,web_desktop,15,1,636,1036.04,0,none
464e667f-14a,U01159,2026-01-01 15:34:00,1883.7,education,Delhi,Delhi,web_mobile,web_mobile,15,1,772,1336.59,0,none
21a2c048-13a,U01173,2026-01-01 15:40:00,830.83,healthcare,Mumbai,Mumbai,pos_terminal,pos_terminal,15,1,812,1163.15,0,none
8f2a82ab-31b,U00949,2026-01-01 15:44:00,553.05,grocery,Mumbai,Mumbai,web_mobile,web_desktop,15,0,66,1163.31,0,none
9740352e-473,U01590,2026-01-01 15:48:00,926.99,education,Pune,Pune,web_desktop,web_mobile,15,0,1161,660.24,0,none
239c08e2-b18,U00067,2026-01-01 15:51:00,1207.62,food_delivery,Bangalore,Bangalore,mobile_app,mobile_app,15,1,1301,1960.91,0,none
c368f43e-662,U01261,2026-01-01 15:51:00,237.62,entertainment,Ahmedabad,Ahmedabad,web_desktop,web_desktop,15,0,1512,417.86,0,none
2f5171db-794,U00005,2026-01-01 15:55:00,817.31,gaming,Hyderabad,Hyderabad,mobile_app,mobile_app,15,0,850,846.42,0,none
20b492bb-519,U00332,2026-01-01 16:15:00,1437.61,grocery,Jaipur,Jaipur,web_mobile,web_mobile,16,0,673,1479.38,0,none
1c8f8bb1-638,U00867,2026-01-01 16:16:00,1068.25,education,Jaipur,Jaipur,web_mobile,web_mobile,16,0,1960,986.8,0,none
a3b2ce06-5ac,U00999,2026-01-01 16:24:00,346.77,gaming,Jaipur,Jaipur,pos_terminal,pos_terminal,16,0,176,610.56,0,none
ec6ba51d-c6e,U00944,2026-01-01 16:30:00,3458.73,food_delivery,Jaipur,Jaipur,mobile_app,mobile_app,16,0,238,2956.73,0,none
938492a3-007,U00764,2026-01-01 16:37:00,435.19,electronics,Lucknow,Lucknow,pos_terminal,pos_terminal,16,0,1055,506.71,0,none
4d8b1ae5-075,U01297,2026-01-01 16:39:00,522.95,electronics,Chennai,Chennai,web_mobile,web_mobile,16,0,120,446.73,0,none
7064789d-8dd,U01723,2026-01-01 16:51:00,437.61,electronics,Mumbai,Mumbai,pos_terminal,pos_terminal,16,1,1864,398.52,0,none
1c8dcfe9-9b1,U01065,2026-01-01 17:01:00,2916.29,food_delivery,Bangalore,Bangalore,web_mobile,web_mobile,17,0,1262,2996.13,0,none
0edb252e-0c6,U01058,2026-01-01 17:11:00,1307.89,food_delivery,Hyderabad,Hyderabad,mobile_app,mobile_app,17,0,1034,1626.91,0,none
a26e87a9-9c6,U00895,2026-01-01 17:27:00,2967.06,education,Lucknow,Lucknow,web_mobile,web_mobile,17,0,194,2498.01,0,none
f2b9472f-374,U00645,2026-01-01 17:33:00,1316.12,travel,Chennai,Chennai,web_desktop,web_desktop,17,0,467,1502.65,0,none
1a304ae9-c1b,U00175,2026-01-01 17:36:00,456.61,education,Pune,Pune,mobile_app,mobile_app,17,0,464,599.09,0,none
03954f96-1a4,U00682,2026-01-01 17:39:00,2516.2,utilities,Chennai,Chennai,web_mobile,web_mobile,17,2,637,3342.61,0,none
6a2ee0c5-b0b,U00075,2026-01-01 18:02:00,1704.97,entertainment,Mumbai,Mumbai,mobile_app,mobile_app,18,0,708,1024.21,0,none
1b3ec478-f3f,U01089,2026-01-01 18:02:00,1179.78,electronics,Lucknow,Lucknow,mobile_app,mobile_app,18,3,762,1086.14,0,none
848c0a92-6d4,U00192,2026-01-01 18:05:00,1468.31,entertainment,Delhi,Delhi,web_desktop,web_desktop,18,0,320,1546.81,0,none
873abf16-c0c,U00493,2026-01-01 18:05:00,1104.82,utilities,Mumbai,Mumbai,mobile_app,mobile_app,18,0,1388,952.9,0,none
d4e6b3b8-dcf,U00362,2026-01-01 18:06:00,1513.45,grocery,Mumbai,Mumbai,mobile_app,mobile_app,18,0,207,2315.76,0,none
a1d5ba39-ea2,U01971,2026-01-01 18:16:00,275.7,utilities,Hyderabad,Hyderabad,pos_terminal,pos_terminal,18,0,1241,1110.91,0,none
e6bbf105-cad,U00590,2026-01-01 18:47:00,662.21,fashion,Mumbai,Mumbai,mobile_app,mobile_app,18,1,1647,886.13,0,none
37cf1232-957,U00956,2026-01-01 18:48:00,435.13,education,Pune,Pune,mobile_app,mobile_app,18,15,1696,292.34,1,velocity
7b4b760c-755,U01435,2026-01-01 18:58:00,1334.09,fashion,Pune,Pune,mobile_app,mobile_app,18,0,1664,1051.47,0,none
4e853ad7-635,U00685,2026-01-01 19:06:00,1894.38,healthcare,Mumbai,Mumbai,web_mobile,web_mobile,19,1,1265,2278.51,0,none
d47462c1-688,U01873,2026-01-01 19:21:00,25.23,electronics,Pune,Pune,web_mobile,web_mobile,19,0,1612,123.02,0,none
69ed2acf-f89,U00261,2026-01-01 19:22:00,1071.74,fashion,Mumbai,Mumbai,mobile_app,mobile_app,19,0,1194,919.67,0,none
61e0b0ad-c87,U00390,2026-01-01 19:36:00,3792.58,entertainment,Kolkata,Kolkata,web_desktop,web_desktop,19,0,1301,3304.8,0,none
b271a678-dfb,U00771,2026-01-01 19:36:00,323.03,gaming,Pune,Pune,pos_terminal,pos_terminal,19,1,1888,849.58,0,none
ed0e9a0a-ac0,U00407,2026-01-01 19:38:00,2621.46,food_delivery,Mumbai,Mumbai,web_desktop,web_desktop,19,0,621,2839.17,0,none
4cbe56bc-2ea,U01979,2026-01-01 19:55:00,3830.29,fashion,Chennai,Chennai,web_mobile,web_mobile,19,0,1721,4295.07,0,none
5b326d6e-a92,U00823,2026-01-01 20:15:00,2788.63,education,Bangalore,Bangalore,web_mobile,web_mobile,20,0,1883,2161.38,0,none
211fe633-724,U00686,2026-01-01 20:17:00,1642.64,travel,Lucknow,Lucknow,mobile_app,mobile_app,20,0,1514,1900.19,0,none
b5d4aef6-d65,U00906,2026-01-01 20:17:00,1430.61,fashion,Delhi,Delhi,web_mobile,pos_terminal,20,0,1370,1078.8,0,none
414515c1-350,U00742,2026-01-01 20:23:00,1699.43,fashion,Kolkata,Kolkata,pos_terminal,pos_terminal,20,1,1414,2162.39,0,none
492a772c-98f,U01971,2026-01-01 20:24:00,779.88,travel,Hyderabad,Hyderabad,pos_terminal,pos_terminal,20,0,1241,1110.91,0,none
f5fb2c25-a58,U00574,2026-01-01 20:24:00,1103.59,healthcare,Mumbai,Mumbai,pos_terminal,pos_terminal,20,0,92,1379.06,0,none
9a17549b-ad8,U00528,2026-01-01 20:26:00,2100.45,travel,Kolkata,Kolkata,web_desktop,web_mobile,3,2,1644,2074.74,1,odd_hour
d5668eba-8fe,U00899,2026-01-01 20:38:00,1982.25,electronics,Mumbai,Mumbai,web_desktop,web_desktop,20,0,592,1894.24,0,none
f6a7278d-8b8,U01441,2026-01-01 20:45:00,3396.31,travel,Chennai,Chennai,pos_terminal,pos_terminal,20,0,1267,3228.21,0,none
a1d506f2-ad4,U00199,2026-01-01 20:53:00,248.41,utilities,Ahmedabad,Ahmedabad,pos_terminal,pos_terminal,20,0,781,294.24,0,none
1ff8aba2-019,U01741,2026-01-01 21:00:00,1036.9,gaming,Mumbai,Mumbai,mobile_app,mobile_app,21,0,319,867.21,0,none
42ab3a95-df2,U00658,2026-01-01 21:24:00,2581.58,healthcare,Hyderabad,Hyderabad,mobile_app,mobile_app,21,0,1671,3302.63,0,none
3bf18ad7-9fd,U01738,2026-01-01 21:24:00,1084.78,education,Kolkata,Kolkata,web_desktop,web_desktop,21,1,1956,1131.55,0,none
85034fb1-c24,U00866,2026-01-01 21:26:00,1571.5,education,Jaipur,Jaipur,web_mobile,web_mobile,21,2,1269,1243.93,0,none
85a6c957-05e,U00221,2026-01-01 21:45:00,916.15,grocery,Hyderabad,Hyderabad,web_mobile,web_mobile,21,1,1572,1158.06,0,none
0d2953e2-bc5,U01942,2026-01-01 21:53:00,2071.07,travel,Kolkata,Kolkata,web_desktop,web_desktop,21,0,1729,1243.15,0,none
5b57e2b6-c5b,U01451,2026-01-01 21:58:00,627.84,food_delivery,Pune,Pune,web_desktop,web_desktop,21,0,307,522.04,0,none
33436df7-bba,U00572,2026-01-01 22:00:00,4317.64,utilities,Hyderabad,Hyderabad,web_mobile,web_mobile,22,0,569,5027.94,0,none
4e22c14a-ecf,U00953,2026-01-01 22:02:00,3189.29,fashion,Jaipur,Jaipur,web_desktop,web_desktop,22,1,1853,2594.08,0,none
d118f33c-884,U01789,2026-01-01 22:06:00,682.61,electronics,Bangalore,Bangalore,pos_terminal,pos_terminal,22,1,1163,490.64,0,none
b06397e8-f08,U00406,2026-01-01 22:21:00,622.27,food_delivery,Mumbai,Mumbai,web_desktop,web_desktop,22,1,1148,868.52,0,none
a8be7bf7-e84,U00645,2026-01-01 22:26:00,415.27,healthcare,Chennai,Chennai,web_desktop,web_desktop,22,1,467,1502.65,0,none
40f663e9-5f2,U00833,2026-01-01 22:39:00,561.06,travel,Pune,Pune,web_mobile,web_mobile,22,0,1536,1072.39,0,none
d7615ed4-f2e,U00251,2026-01-01 22:43:00,839.21,education,Kolkata,Kolkata,mobile_app,mobile_app,22,0,846,743.19,0,none
548d70d5-3e2,U01410,2026-01-01 23:04:00,818.05,healthcare,Chennai,Chennai,mobile_app,mobile_app,23,0,277,983.15,0,none
